"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPAGE","15_24","PC_AGE","A","2018",51.35,
"AUT","EMPAGE","15_24","PC_AGE","A","2019",51.625,
"AUT","EMPAGE","15_24","PC_AGE","A","2020",49.775,
"AUT","EMPAGE","15_24","PC_AGE","A","2021",50.125,
"AUT","EMPAGE","15_24","PC_AGE","A","2022",51.9,
"BEL","EMPAGE","15_24","PC_AGE","A","2018",24.975,
"BEL","EMPAGE","15_24","PC_AGE","A","2019",26.575,
"BEL","EMPAGE","15_24","PC_AGE","A","2020",23.875,
"BEL","EMPAGE","15_24","PC_AGE","A","2021",24.75,
"BEL","EMPAGE","15_24","PC_AGE","A","2022",25.975,
"CZE","EMPAGE","15_24","PC_AGE","A","2018",28.375,
"CZE","EMPAGE","15_24","PC_AGE","A","2019",28.05,
"CZE","EMPAGE","15_24","PC_AGE","A","2020",25.125,
"CZE","EMPAGE","15_24","PC_AGE","A","2021",24.8,"B"
"CZE","EMPAGE","15_24","PC_AGE","A","2022",25.725,
"DNK","EMPAGE","15_24","PC_AGE","A","2018",53.75,
"DNK","EMPAGE","15_24","PC_AGE","A","2019",55,
"DNK","EMPAGE","15_24","PC_AGE","A","2020",53.225,
"DNK","EMPAGE","15_24","PC_AGE","A","2021",53.9,
"DNK","EMPAGE","15_24","PC_AGE","A","2022",56.125,
"FIN","EMPAGE","15_24","PC_AGE","A","2018",43.6,
"FIN","EMPAGE","15_24","PC_AGE","A","2019",44.15,
"FIN","EMPAGE","15_24","PC_AGE","A","2020",40.95,
"FIN","EMPAGE","15_24","PC_AGE","A","2021",43.825,
"FIN","EMPAGE","15_24","PC_AGE","A","2022",46.3,
"FRA","EMPAGE","15_24","PC_AGE","A","2018",30.225,
"FRA","EMPAGE","15_24","PC_AGE","A","2019",30.1,
"FRA","EMPAGE","15_24","PC_AGE","A","2020",28.9,
"FRA","EMPAGE","15_24","PC_AGE","A","2021",32.225,
"FRA","EMPAGE","15_24","PC_AGE","A","2022",34.9,
"DEU","EMPAGE","15_24","PC_AGE","A","2018",46.525,
"DEU","EMPAGE","15_24","PC_AGE","A","2019",47.825,"B"
"DEU","EMPAGE","15_24","PC_AGE","A","2020",48.3201,"E"
"DEU","EMPAGE","15_24","PC_AGE","A","2021",48.375,
"DEU","EMPAGE","15_24","PC_AGE","A","2022",50.425,
"GRC","EMPAGE","15_24","PC_AGE","A","2018",14.3,
"GRC","EMPAGE","15_24","PC_AGE","A","2019",14.825,
"GRC","EMPAGE","15_24","PC_AGE","A","2020",13.025,
"GRC","EMPAGE","15_24","PC_AGE","A","2021",13.375,
"GRC","EMPAGE","15_24","PC_AGE","A","2022",16.1,
"HUN","EMPAGE","15_24","PC_AGE","A","2018",29.95,
"HUN","EMPAGE","15_24","PC_AGE","A","2019",29.075,
"HUN","EMPAGE","15_24","PC_AGE","A","2020",27.95,
"HUN","EMPAGE","15_24","PC_AGE","A","2021",27.475,
"HUN","EMPAGE","15_24","PC_AGE","A","2022",27.575,
"IRL","EMPAGE","15_24","PC_AGE","A","2018",40.225,
"IRL","EMPAGE","15_24","PC_AGE","A","2019",41.175,
"IRL","EMPAGE","15_24","PC_AGE","A","2020",35.875,
"IRL","EMPAGE","15_24","PC_AGE","A","2021",42.875,
"IRL","EMPAGE","15_24","PC_AGE","A","2022",47.75,
"ITA","EMPAGE","15_24","PC_AGE","A","2018",17.575,
"ITA","EMPAGE","15_24","PC_AGE","A","2019",18.375,
"ITA","EMPAGE","15_24","PC_AGE","A","2020",16.625,
"ITA","EMPAGE","15_24","PC_AGE","A","2021",17.525,
"ITA","EMPAGE","15_24","PC_AGE","A","2022",19.8,
"LUX","EMPAGE","15_24","PC_AGE","A","2018",28.4,
"LUX","EMPAGE","15_24","PC_AGE","A","2019",28.7,
"LUX","EMPAGE","15_24","PC_AGE","A","2020",24.85,"B"
"LUX","EMPAGE","15_24","PC_AGE","A","2021",29.375,
"LUX","EMPAGE","15_24","PC_AGE","A","2022",27.55,
"NLD","EMPAGE","15_24","PC_AGE","A","2018",71.55,
"NLD","EMPAGE","15_24","PC_AGE","A","2019",72.85,
"NLD","EMPAGE","15_24","PC_AGE","A","2020",69.975,
"NLD","EMPAGE","15_24","PC_AGE","A","2021",71.7,
"NLD","EMPAGE","15_24","PC_AGE","A","2022",75.5,
"POL","EMPAGE","15_24","PC_AGE","A","2018",30.825,
"POL","EMPAGE","15_24","PC_AGE","A","2019",31.675,
"POL","EMPAGE","15_24","PC_AGE","A","2020",28.15,
"POL","EMPAGE","15_24","PC_AGE","A","2021",27.35,
"POL","EMPAGE","15_24","PC_AGE","A","2022",27.8,
"PRT","EMPAGE","15_24","PC_AGE","A","2018",27.2,
"PRT","EMPAGE","15_24","PC_AGE","A","2019",27.95,
"PRT","EMPAGE","15_24","PC_AGE","A","2020",23.325,
"PRT","EMPAGE","15_24","PC_AGE","A","2021",22.8,
"PRT","EMPAGE","15_24","PC_AGE","A","2022",25.175,
"SVK","EMPAGE","15_24","PC_AGE","A","2018",27.575,
"SVK","EMPAGE","15_24","PC_AGE","A","2019",25,
"SVK","EMPAGE","15_24","PC_AGE","A","2020",22.775,
"SVK","EMPAGE","15_24","PC_AGE","A","2021",20.8,
"SVK","EMPAGE","15_24","PC_AGE","A","2022",21.325,
"ESP","EMPAGE","15_24","PC_AGE","A","2018",21.65,
"ESP","EMPAGE","15_24","PC_AGE","A","2019",22.275,
"ESP","EMPAGE","15_24","PC_AGE","A","2020",18.475,
"ESP","EMPAGE","15_24","PC_AGE","A","2021",20.575,
"ESP","EMPAGE","15_24","PC_AGE","A","2022",22.975,
"SWE","EMPAGE","15_24","PC_AGE","A","2018",45.3,"B"
"SWE","EMPAGE","15_24","PC_AGE","A","2019",44.55,
"SWE","EMPAGE","15_24","PC_AGE","A","2020",40.1,
"SWE","EMPAGE","15_24","PC_AGE","A","2021",40.675,
"SWE","EMPAGE","15_24","PC_AGE","A","2022",44.525,
"EST","EMPAGE","15_24","PC_AGE","A","2018",40.85,
"EST","EMPAGE","15_24","PC_AGE","A","2019",38.55,
"EST","EMPAGE","15_24","PC_AGE","A","2020",34.525,
"EST","EMPAGE","15_24","PC_AGE","A","2021",33.55,
"EST","EMPAGE","15_24","PC_AGE","A","2022",36.525,
"SVN","EMPAGE","15_24","PC_AGE","A","2018",33.45,
"SVN","EMPAGE","15_24","PC_AGE","A","2019",31.625,
"SVN","EMPAGE","15_24","PC_AGE","A","2020",25.825,
"SVN","EMPAGE","15_24","PC_AGE","A","2021",29.625,
"SVN","EMPAGE","15_24","PC_AGE","A","2022",32.275,
"OECD","EMPAGE","15_24","PC_AGE","A","2018",42.16528,"E"
"OECD","EMPAGE","15_24","PC_AGE","A","2019",42.49112,"E"
"OECD","EMPAGE","15_24","PC_AGE","A","2020",38.76413,"E"
"OECD","EMPAGE","15_24","PC_AGE","A","2021",41.06579,"E"
"OECD","EMPAGE","15_24","PC_AGE","A","2022",42.7868,"E"
"LVA","EMPAGE","15_24","PC_AGE","A","2018",33.1,
"LVA","EMPAGE","15_24","PC_AGE","A","2019",31.725,
"LVA","EMPAGE","15_24","PC_AGE","A","2020",29.6,
"LVA","EMPAGE","15_24","PC_AGE","A","2021",27.9,
"LVA","EMPAGE","15_24","PC_AGE","A","2022",30.6,
"LTU","EMPAGE","15_24","PC_AGE","A","2018",32.425,
"LTU","EMPAGE","15_24","PC_AGE","A","2019",32.9,
"LTU","EMPAGE","15_24","PC_AGE","A","2020",29.45,"B"
"LTU","EMPAGE","15_24","PC_AGE","A","2021",31.125,
"LTU","EMPAGE","15_24","PC_AGE","A","2022",32,
"EU27_2020","EMPAGE","15_24","PC_AGE","A","2018",32.975,
"EU27_2020","EMPAGE","15_24","PC_AGE","A","2019",33.525,
"EU27_2020","EMPAGE","15_24","PC_AGE","A","2020",31.425,
"EU27_2020","EMPAGE","15_24","PC_AGE","A","2021",32.675,
"EU27_2020","EMPAGE","15_24","PC_AGE","A","2022",34.75,
