año;periodo;pais;desempleo
2023;Octubre;Alemania;5,6
2023;Octubre;Austria;10,5
2023;Octubre;Bulgaria;12,4
2023;Octubre;Chequia;7,1
2023;Octubre;Dinamarca;14
2023;Octubre;Eslovaquia;20,8
2023;Octubre;España;28
2023;Octubre;Estonia;20,7
2023;Octubre;Eurozona;14,6
2023;Octubre;Finlandia;16,8
2023;Octubre;Francia;17,7
2023;Octubre;Hungría;13,5
2023;Octubre;Irlanda;12,5
2023;Octubre;Italia;24,7
2023;Octubre;Letonia;13,9
2023;Octubre;Lituania;13,3
2023;Octubre;Luxemburgo;19,3
2023;Octubre;Malta;7
2023;Octubre;Países Bajos;8,4
2023;Octubre;Polonia;10,5
2023;Octubre;Portugal;20,8
2023;Octubre;Suecia;22,1
2023;Octubre;UE-27;14,8
